"X","SPECIMEN","lat","long","year","ShortMonth","date","res","nmonth","nm","year_nm","long.aea","lat.aea","dem"
193,"UCD80462",38.757,-121.033,2005,"jun","14-Jun","nr",6,6,"2005_06",-89673.3933476159,82818.6603674972,341
194,"UCD99627",37.664,-120.46,1958,"jun","8-Jun","nr",6,6,"1958_06",-40522.1468451838,-39073.0129118222,60
195,"UCD99630",39.728,-121.702,1962,"jun","1-Jun","nr",6,6,"1962_06",-145806.312536858,191548.889135444,124
196,"UCD99635",39.75,-121.843,2006,"aug","2-Aug","nr",8,8,"2006_08",-157836.472853188,194218.579396116,62
197,"UCD99636",38.449,-120.893,2006,"oct","23-Oct","nr",10,10,"2006_10",-77843.0307867034,48460.1880601393,209
198,"UCD99637",39.612,-121.606,1914,"jun","2-Jun","nr",6,6,"1914_06",-137801.347799225,178518.474768968,132
199,"UCD99639",39.499,-121.536,1959,"sep","20-Sep","nr",9,9,"1959_09",-131999.015851979,165864.338952336,101
200,"UCD99656",35.3689,-119.1455,1959,"jul","4-Jul","nr",7,7,"1959_07",77572.2915405543,-293873.225632017,111
201,"UCD99658",35.703275,-118.456166,1972,"sep","23-Sep","r",9,9,"1972_09",139541.600283917,-255945.668925033,813
202,"UCD99660",35.5322,-119.2802,1972,"jul","7-Jul","nr",7,7,"1972_07",65206.6572162658,-275837.65884462,112
203,"UCR110408",33.876,-117.053,1999,"oct","15-Oct","nr",10,10,"1999_10",272641.562716205,-455682.69959816,436
204,"UCR113836",34.033,-117.383,2000,"aug","5-Aug","nr",8,8,"2000_08",241639.256377071,-439171.272494148,289
205,"UCR182145",38.449,-120.893,2006,"oct","23-Oct","nr",10,10,"2006_10",-77843.0307867034,48460.1880601393,209
206,"UCR18683",34.103,-117.308,1953,"jun","26-Jun","nr",6,6,"1953_06",248342.050421134,-431215.36376616,323
207,"UCR207606",33.963,-117.34,2004,"may","10-May","nr",5,5,"2004_05",245826.422189142,-446822.271477006,304
208,"UCR217706",33.826,-118.342,2010,"aug","5-Aug","nr",8,8,"2010_08",153503.64255241,-464123.321221318,24
209,"UCR220109",38.65,-121.15,2005,"jun","11-Jun","nr",6,6,"2005_06",-99973.8014007831,71042.8782527922,104
210,"UCR241168",38.525,-121.091,2012,"oct","1-Oct","nr",10,10,"2012_10",-95004.8323877547,57088.414149153,63
211,"UCR38867",35.508,-120.52,1983,"oct","21-Oct","nr",10,10,"1983_10",-47121.7414134744,-278643.972679487,347
212,"UCR49979",37.543,-120.946,1987,"jul","5-Jul","nr",7,7,"1987_07",-83467.8324083044,-52205.9357902939,25
213,"UCR54669",34.756,-120.298,1970,"sep","23-Sep","nr",9,9,"1970_09",-27266.9391636327,-362233.781518266,179
214,"UCR59473",33.866,-117.15,1989,"jul","14-Jul","r",7,7,"1989_07",263703.695711511,-457065.6156439,493
215,"UCR77714",33.558,-117.116,1991,"jun","14-Jun","nr",6,6,"1991_06",267887.409943178,-491107.460028804,445
216,"wb1194-2276",39.91291,-121.9679,2011,"aug","6-Aug","nr",8,8,"2011_08",-168155.90329983,212528.862796454,71
217,"wb1194-2277",38.652012,-122.277384,2012,"nov","3-Nov","r",11,11,"2012_11",-197961.9533454,73037.9152485779,133
218,"wb1457-22",37.97881,-119.87174,2012,"oct","3-Oct","nr",10,10,"2012_10",11251.3282910494,-4167.30580264376,1425
