SPECIMEN,lat,long,year,ShortMonth,date,res
jgr9863,38.2215625,-120.9409375,2002,jul,28-Jul,r
NY526502,38.66,-119.539,1986,sep,4-Sep,r
POM12442,33.592,-117.759,1922,sep,2-Sep,nr
POM280208,35.373,-119.017,1935,sep,19-Sep,nr
POM280210,38.833,-122.7247,1930,Sep,22-Sep,nr
POM280211,35.364,-119.01,1934,may,20-May,nr
POM312383,39.0853,-122.9168,1946,Jul,27-Jul,r
POM48427,33.568,-117.763,1924,jul,10-Jul,nr
POM50530,33.739,-118.095,1901,jun,15-Jun,nr
POM6615,33.934,-116.97,1919,mar,25-Mar,r
RSA263810,35.711,-118.421,1970,sep,22-Sep,r
RSA2694,39.0165,-122.7633,1928,Jul,12-Jul,r
RSA461755,34.116,-118.179,1893,aug,13-Aug,nr
RSA509144,34.431,-119.759,1952,sep,2-Sep,nr
RSA519207,34.855,-114.621,1960,jul,28-Jul,nr
RSA535830,34.787,-120.349,1991,aug,7-Aug,nr
RSA544435,33.558,-117.116,1991,jun,14-Jun,nr
RSA688946,36.92138,-119.28111,1998,Nov,14-Nov,r
RSA706804,35.322,-119.364,2004,aug,16-Aug,nr
RSA752138,34.033,-117.541,2009,jul,4-Jul,nr
RSA755371,39.761,-121.797,2009,aug,13-Aug,nr
RSA782809,33.826,-118.342,2010,aug,5-Aug,nr
RSA812542,33.61606,-117.7578,2012,Oct,31-Oct,nr
RSA96888,39.0014,-122.7944,1948,Aug,5-Aug,r
SBBG100116,39.791,-122.388,1989,oct,21-Oct,r
SBBG108591,35.6953,-118.4362,1966,Sep,4-Sep,r
SBBG111089,35.986,-121.231,1994,jul,19-Jul,nr
SBBG1909,34.431,-119.759,1952,aug,22-Aug,nr
SBBG20861,36.532,-120.064,1963,nov,22-Nov,nr
SBBG47055,34.787,-120.349,1973,Jun,14-Jun,nr
SBBG50223,35.705,-118.451,1972,sep,23-Sep,r
SBBG51139,34.793,-120.3325,1973,Jul,12-Jul,nr
SBBG69830,34.793,-120.3325,1973,Jul,12-Jul,nr
SBBG69831,34.431,-119.758,1952,sep,5-Sep,nr
SBBG69833,34.116,-118.179,1893,aug,15-Aug,nr
SBBG87566,34.431,-119.759,1952,sep,5-Sep,nr
SBBG87567,34.431,-119.759,1952,sep,2-Sep,nr
SBBG87568,34.431,-119.759,1952,aug,22-Aug,nr
SBBG88199,34.787,-120.346,1970,sep,23-Sep,nr
SBBG93266,33.65,-117.92,1936,jul,26-Jul,nr
SBBG97464,34.787,-120.346,1991,aug,7-Aug,nr
SD112948,40,-122.183,1963,aug,8-Aug,nr
SD126094,38.93,-122.675,1946,aug,31-Aug,r
